route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color
BL,CMRL,BLUE,Washermanpet - Chennai International Airport,,1,3281C4,
BLEXT,CMRL,BLUEEXT,Washermanpet - Wimco Nagar,,1,3281C4,
GL,CMRL,GREEN,Washermanpet - Wimco Nagar,,1,53B848,
L3,CMRL,L3,Madhavaram - Siruseri,,1,,
L4,CMRL,L4,Koyambedu - Lighthouse,,1,,
L5,CMRL,L5,Madhavaram - Sholinganallur,,1,,
MRTS,MRTS,MRTS,Chennai Central - Nandiambakkam,,1,000000,ffffff
CSR_NORTH,CSR,CSR_NORTH,Chennai Beach - St. Thomas mount,,1,000000,ffffff
CSR_WEST,CSR,CSR_WEST,Chennai Central - Tiruttani,,1,000000,ffffff
CSR_SOUTH,CSR,CSR_SOUTH,Chennai Beach - Vandalur,,1,000000,ffffff
CSR_UNIQ,CSR,CSR_UNIQ,Chennai Beach - St. Thomas mount,,1,000000,ffffff
BL_C1,CMRL,SWM-SAP,Wimco Nagar to Airport,"Wimco Nagar to Airport via Tollgate, Washermanpet, Central, AG-DMS, Alandur",1,3366CC,FFFFFF
IC_A1,CMRL,SCC-SAP,Chennai Central to Airport,"Chennai Central to Airport via Egmore, CMBT, Alandur",1,40E0D0,000000
GL_C2,CMRL,SCC-SMM,Chennai Central to St. Thomas Mount,"Chennai Central to St. Thomas Mount via. Egmore, CMBT, Alandur",1,008000,FFFFFF
CUT,CMRL,SCC-SAL,Chennai Central to Alandur,"Chennai Central to Alandur via CMBT",1,3366CC,FFFFFF
